Date,OPEN,HIGH,LOW,CLOSE
11/8/2017,1798.9,1808.4,1775.3,1787.8
11/9/2017,1787,1794.4,1754.3,1760.6
11/10/2017,1754.9,1775.1,1745,1754.3
11/13/2017,1750,1772.9,1740.5,1756.8
11/14/2017,1756.8,1779,1733.4,1743.1
11/15/2017,1739,1783.7,1730,1770.9
11/16/2017,1778,1804,1776.1,1795.7
11/17/2017,1803.8,1815.1,1756.4,1763.1
11/20/2017,1745.6,1754.2,1703.2,1707.1
11/21/2017,1709.6,1725,1695.6,1705.3
11/22/2017,1710,1734,1707,1722.3
11/23/2017,1728,1731.6,1707,1712.3
11/24/2017,1715,1723,1694,1697.7
11/27/2017,1694.9,1698,1675,1693.3
11/28/2017,1699,1699,1677,1681.3
11/29/2017,1680.9,1695.6,1675,1682.5
11/30/2017,1674.1,1691,1662.1,1667.9
12/1/2017,1672.4,1705.7,1670.1,1676.7
12/4/2017,1680,1702.8,1671,1694.1
12/5/2017,1693,1705.4,1675,1698.2
12/6/2017,1692,1701,1682.6,1690.1
12/7/2017,1688.1,1712,1688,1703.5
12/8/2017,1708,1760.1,1702.6,1747
12/11/2017,1751.1,1774.4,1728,1732.8
12/12/2017,1735,1743.5,1702.4,1710.3
12/13/2017,1707.5,1734.9,1696.1,1706
12/14/2017,1714.4,1722,1676.2,1688.2
12/15/2017,1704.9,1707.8,1689.1,1696.5
12/18/2017,1687.6,1708.7,1655.5,1696.9
12/19/2017,1704.8,1733.9,1698.4,1730.3
12/20/2017,1726,1739.9,1720.6,1727.2
12/21/2017,1718.1,1746,1717,1738.9
12/22/2017,1748,1748,1717.1,1721.7
12/26/2017,1721.7,1744.8,1710.5,1742.1
12/27/2017,1740.2,1748,1725.4,1735.8
12/28/2017,1737,1757.2,1724.8,1748.7
12/29/2017,1754.9,1770,1747.5,1758.4
1/2/2018,1736.2,1745.8,1725,1743.2
1/3/2018,1741.1,1780,1740.1,1774.6
1/4/2018,1780,1808,1770,1801.4
1/5/2018,1801.1,1820.4,1795.6,1810
1/8/2018,1816,1828,1800,1825
1/9/2018,1823,1835,1793.9,1812.1
1/10/2018,1812.1,1823,1801.4,1816.6
1/11/2018,1825,1825.1,1798.6,1802.1
1/12/2018,1805,1820,1794,1805
1/15/2018,1809.9,1834.5,1792.5,1830
1/16/2018,1835,1857.5,1826.1,1850.3
1/17/2018,1850,1852.5,1826.2,1840.5
1/18/2018,1840.5,1852,1823.5,1839
1/19/2018,1828.3,1836.4,1811,1829.5
1/22/2018,1816.5,1832.6,1805.5,1827.2
1/23/2018,1825,1825,1782.3,1790.2
1/24/2018,1787.8,1792.7,1732.2,1737.5
1/25/2018,1739.9,1753.4,1720,1726.4
1/29/2018,1735.2,1755,1729.8,1738.7
1/30/2018,1728,1740,1722,1728.1
1/31/2018,1728.1,1737.9,1700.1,1715.3
2/1/2018,1723,1744.9,1695.1,1737
2/2/2018,1725.9,1729,1675.1,1679.8
2/5/2018,1667,1667,1612.9,1641.2
2/6/2018,1595,1640.6,1565,1619
